drugbank_id	name	z_score_pan	z_score_sars	z_score_mers	z_score_ibv	z_score_mhv	p_value_pan	p_value_sars	p_value_mers	p_value_ibv	p_value_mhv
DB08867	Ulipristal	-0.083	0.214	-1.229	-1.219	0.092	0.341	0.491	0.081	0.068	0.441
DB00878	Chlorhexidine	-0.082	0.523	0.266	0.727	0.171	0.424	0.662	0.455	0.697	0.488
DB04140	1-Benzyl-3-(4-Methoxy-Benzenesulfonyl)-6-Oxo-Hexahydro-Pyrimidine-4-Carboxylic Acid Hydroxyamide	-0.081	-0.075	0.55	0.704	0.282	0.441	0.397	0.567	0.518	0.512
DB00834	Mifepristone	-0.08	0.332	-0.625	-0.783	0.029	0.365	0.57	0.2	0.154	0.436
DB03499	Malate Ion	-0.08	0.139	0.745	-0.182	-0.461	0.658	0.732	0.742	0.231	0.249
DB00892	Oxybuprocaine	-0.077	0.063	0.446	-0.245	-0.299	0.343	0.401	0.438	0.267	0.242
DB00881	Quinapril	-0.075	0.392	-0.629	0.141	-0.412	0.588	0.813	0.053	0.36	0.267
DB00421	Spironolactone	-0.074	0.709	0.957	-0.111	-0.822	0.371	0.755	0.787	0.388	0.148
DB00158	Folic acid	-0.073	0.174	0.715	0.105	-0.498	0.64	0.742	0.834	0.65	0.35
DB01727	Isocitric Acid	-0.072	0.141	0.996	-0.081	-0.454	0.626	0.689	0.787	0.256	0.24
DB00243	Ranolazine	-0.069	0.306	0.639	0.802	-0.723	0.467	0.618	0.629	0.674	0.161
DB01583	Liotrix	-0.069	0.848	-0.078	-0.704	-1	0.455	0.789	0.139	0.182	0.113
DB03176	KB-141	-0.069	0.848	-0.078	-0.704	-1	0.455	0.789	0.139	0.182	0.113
DB07425	Sobetirome	-0.069	0.848	-0.078	-0.704	-1	0.455	0.789	0.139	0.182	0.113
DB07267	2-(6-methylpyridin-2-yl)-N-pyridin-4-ylquinazolin-4-amine	-0.068	-0.385	0.695	0.97	-0.215	0.358	0.251	0.425	0.777	0.285
DB08393	"2-[(5,6-DIPHENYLFURO[2,3-D]PYRIMIDIN-4-YL)AMINO]ETHANOL"	-0.068	0.402	0.695	-1.118	-0.513	0.358	0.628	0.425	0.082	0.191
DB00950	Fexofenadine	-0.064	0.143	-0.292	0.626	-0.545	0.484	0.597	0.257	0.66	0.208
DB02701	Nicotinamide	-0.064	-0.466	-1.532	0.543	0.266	0.368	0.243	0.055	0.652	0.544
DB01222	Budesonide	-0.062	0.295	-0.817	-0.2	0.151	0.379	0.554	0.132	0.356	0.472
DB01121	Phenacemide	-0.061	0.212	-0.027	-0.939	-0.332	0.382	0.448	0.395	0.296	0.345
DB01579	Phendimetrazine	-0.061	-0.056	0.991	-0.005	-0.986	0.487	0.47	0.773	0.268	0.076
DB02546	Vorinostat	-0.053	0.303	-0.209	-0.374	0.192	0.416	0.62	0.359	0.371	0.535
DB09236	Lacidipine	-0.052	1.207	1.131	0.538	-1.744	0.474	0.894	0.8	0.563	0.02
DB00451	Levothyroxine	-0.047	-0.077	0.756	0.544	0.022	0.432	0.412	0.568	0.64	0.429
DB01119	Diazoxide	-0.047	-0.211	1.951	-0.234	-0.875	0.443	0.368	0.957	0.314	0.149
DB00607	Nafcillin	-0.046	0.561	-0.409	-0.684	-0.11	0.5	0.735	0.063	0.13	0.387
DB07728	"2-[2-(2-FLUOROPHENYL)PYRIDIN-4-YL]-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE"	-0.046	-0.463	0.781	-0.284	0.492	0.359	0.229	0.493	0.304	0.644
DB06742	Ambroxol	-0.045	0.438	-0.882	-0.427	-0.126	0.364	0.632	0.129	0.238	0.321
DB00331	Metformin	-0.044	0.369	-0.076	-0.183	-0.115	0.368	0.604	0.323	0.338	0.336
DB01032	Probenecid	-0.044	0.355	1.214	-1.118	-0.646	0.407	0.582	0.81	0.112	0.193
DB01977	6-(N-Phenylcarbamyl)-2-Naphthalenecarboxamidine	-0.042	0.31	0.617	-0.113	-0.49	0.448	0.572	0.588	0.296	0.226
DB07718	3-(4-HYDROXY-PHENYL)PYRUVIC ACID	-0.042	0.084	0.566	0.385	-0.267	0.53	0.563	0.59	0.419	0.331
DB09017	Brotizolam	-0.042	0.088	-1.176	-0.668	0.415	0.37	0.486	0.068	0.16	0.622
DB09389	Norgestrel	-0.042	0.112	-1.033	-0.753	0.257	0.388	0.477	0.074	0.142	0.514
DB04840	Debrisoquine	-0.04	0.155	1.218	0.709	-0.295	0.606	0.67	0.835	0.597	0.345
DB02873	"1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperazin-1-Yl-3,4-Dihydroquinazolin-2(1h)-One"	-0.038	-0.348	0.469	0.394	-0.246	0.379	0.284	0.335	0.555	0.271
DB08941	Isoxsuprine	-0.038	0.067	-1.06	0.237	0.077	0.429	0.506	0.075	0.48	0.453
DB00153	Ergocalciferol	-0.037	0.328	-1.273	-0.346	0.327	0.376	0.573	0.057	0.275	0.525
DB07227	4-[(5-{[4-(3-CHLOROPHENYL)-3-OXOPIPERAZIN-1-YL]METHYL}-1H-IMIDAZOL-1-YL)METHYL]BENZONITRILE	-0.036	1.264	1.627	0.573	-1.981	0.479	0.906	0.873	0.469	0.009
DB00567	Cephalexin	-0.034	0.145	1.278	0.698	-0.227	0.567	0.629	0.873	0.603	0.379
DB01076	Atorvastatin	-0.034	-0.092	0.28	-0.074	0.586	0.371	0.363	0.521	0.4	0.686
DB08799	Antazoline	-0.034	0.444	-0.715	0.003	-0.479	0.688	0.859	0.048	0.362	0.236
DB00824	Enprofylline	-0.033	0.37	-1.044	0.224	-0.287	0.451	0.608	0.03	0.316	0.296
DB01001	Salbutamol	-0.033	0.297	-1.716	0.649	-0.572	0.445	0.567	0.021	0.643	0.217
DB06994	"(2S,3S)-3-{3-[2-chloro-4-(methylsulfonyl)phenyl]-1,2,4-oxadiazol-5-yl}-1-cyclopentylidene-4-cyclopropyl-1-fluorobutan-2-amine"	-0.032	0.143	0.227	0.161	-0.445	0.545	0.628	0.447	0.307	0.251
DB00194	Vidarabine	-0.027	1.147	-2.496	-0.41	0.084	0.397	0.892	0.01	0.283	0.458
DB00406	Gentian violet cation	-0.027	0.531	0.54	1.406	-0.89	0.391	0.665	0.658	0.914	0.124
DB01766	Beta-(2-Naphthyl)-Alanine	-0.027	-0.208	1.33	-0.692	0.869	0.356	0.334	0.9	0.168	0.788
DB04464	N-Formylmethionine	-0.026	0.667	-0.372	0.253	-1.427	0.403	0.74	0.26	0.529	0.067
DB00631	Clofarabine	-0.025	1.074	-1.369	-0.918	-0.178	0.443	0.822	0.058	0.121	0.342
DB02352	3-(Benzyloxy)Pyridin-2-Amine	-0.024	-0.428	0.601	-0.078	0.176	0.387	0.248	0.408	0.361	0.462
DB00484	Brimonidine	-0.023	-0.229	2.934	0.281	-1.12	0.452	0.342	0.989	0.361	0.087
DB00762	Irinotecan	-0.021	-0.172	0.237	-1.084	0.322	0.397	0.362	0.5	0.099	0.577
DB01212	Ceftriaxone	-0.021	0.465	1.159	-0.049	-0.689	0.468	0.642	0.807	0.353	0.191
DB01761	4-[5-[2-(1-Phenyl-Ethylamino)-Pyrimidin-4-Yl]-1-Methyl-4-(3-Trifluoromethylphenyl)-1h-Imidazol-2-Yl]-Piperidine	-0.019	-0.723	0.654	0.858	-0.016	0.365	0.144	0.398	0.749	0.383
DB01166	Cilostazol	-0.018	0.983	1.828	0.053	-1.758	0.546	0.899	0.929	0.281	0.005
DB00953	Rizatriptan	-0.017	-0.696	1.635	1.354	0.259	0.453	0.184	0.908	0.881	0.529
DB04059	8-(Pyrimidin-2-Ylamino)Naphthalene-2-Carboximidamide	-0.017	0.418	0.29	0.274	-0.198	0.454	0.605	0.42	0.508	0.352
DB08612	"1,1,1-TRIFLUORO-3-(OCTYLTHIO)ACETONE"	-0.015	0.201	0.091	-0.573	-0.114	0.721	0.721	0.573	0.227	0.651
DB00136	Calcitriol	-0.012	0.624	0.77	0.719	-1.225	0.454	0.681	0.652	0.589	0.076
DB08890	Linaclotide	-0.012	0.026	0.349	-0.095	-0.257	0.386	0.396	0.488	0.397	0.349
DB00143	Glutathione	-0.01	-0.466	0.428	0.543	0.034	0.45	0.247	0.708	0.658	0.433
DB01188	Ciclopirox	-0.01	-0.141	-1.688	-0.642	0.508	0.378	0.37	0.051	0.252	0.678
DB03541	"10-Propargyl-5,8-Dideazafolic Acid"	-0.01	0.328	1.054	-0.034	-0.538	0.641	0.756	0.798	0.286	0.207
DB04719	"DIMETHYL-(4,5,6,7-TETRABROMO-1H-BENZOIMIDAZOL-2-YL)-AMINE"	-0.009	-0.034	-0.155	-1.425	-0.411	0.395	0.386	0.261	0.044	0.249
DB07149	"(7S)-2-(2-aminopyrimidin-4-yl)-7-(2-fluoroethyl)-1,5,6,7-tetrahydro-4H-pyrrolo[3,2-c]pyridin-4-one"	-0.009	-0.291	0.08	-1.348	0.604	0.371	0.273	0.418	0.054	0.699
DB00744	Zileuton	-0.006	-0.056	0.804	0.848	-0.507	0.486	0.429	0.701	0.706	0.228
DB01177	Idarubicin	-0.004	-0.804	-0.585	-0.685	0.294	0.417	0.129	0.203	0.187	0.545
DB00151	L-Cysteine	-0.003	0.236	-0.589	-0.82	0.417	0.462	0.535	0.143	0.144	0.588
DB00296	Ropivacaine	0.001	0.125	1.618	1.255	-0.712	0.512	0.503	0.911	0.863	0.178
DB00961	Mepivacaine	0.001	0.125	1.618	1.255	-0.712	0.512	0.503	0.911	0.863	0.178
DB01086	Benzocaine	0.001	0.125	1.618	1.255	-0.712	0.512	0.503	0.911	0.863	0.178
DB06603	Panobinostat	0.002	-0.018	0.741	-0.193	0.436	0.406	0.406	0.634	0.372	0.644
DB08696		0.003	1.035	1.083	0.162	-0.739	0.475	0.817	0.785	0.416	0.168
DB06730	Gestodene	0.004	0.151	-1.011	-0.712	0.27	0.37	0.484	0.073	0.158	0.505
DB00201	Caffeine	0.009	-0.265	-1.679	0.47	0.37	0.405	0.318	0.031	0.642	0.591
DB01509	Tenamfetamine	0.009	0.355	0.397	-0.223	-0.561	0.644	0.747	0.575	0.201	0.191
DB08800	Chloropyramine	0.01	0.521	-0.269	-0.673	0.23	0.502	0.71	0.14	0.168	0.547
DB00711	Diethylcarbamazine	0.011	0.306	-0.399	-1.223	0.869	0.38	0.56	0.268	0.073	0.792
DB00997	Doxorubicin	0.013	0.067	0.769	-1.948	0.064	0.421	0.467	0.687	0.025	0.457
DB00547	Desoximetasone	0.014	0.26	-0.919	-0.834	0.198	0.4	0.56	0.137	0.153	0.511
DB00959	Methylprednisolone	0.014	0.26	-0.919	-0.834	0.198	0.4	0.56	0.137	0.153	0.511
DB03466	BMS184394	0.014	0.865	1.579	0.406	-1.715	0.551	0.866	0.887	0.407	0.011
DB04865	Omacetaxine mepesuccinate	0.014	0.343	-0.712	-0.422	0.541	0.365	0.563	0.189	0.256	0.673
DB01087	Primaquine	0.016	-0.185	-0.73	0.03	-0.083	0.459	0.353	0.163	0.45	0.397
DB00619	Imatinib	0.017	-0.032	1.005	0.674	-0.793	0.414	0.39	0.806	0.753	0.152
DB00465	Ketorolac	0.018	0.193	1.381	0.773	-0.826	0.413	0.5	0.873	0.689	0.122
DB06989	{4-[2-BENZYL-3-METHOXY-2-(METHOXYCARBONYL)-3-OXOPROPYL]PHENYL}SULFAMIC ACID	0.019	0.555	-0.076	-0.013	-0.425	0.487	0.683	0.138	0.345	0.255
DB07207	2-(4-HYDROXY-5-PHENYL-1H-PYRAZOL-3-YL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE	0.019	0.319	1.092	0.26	-0.823	0.543	0.672	0.798	0.35	0.13
DB09115	Diiodohydroxyquinoline	0.022	0.404	0.065	-1.162	-0.534	0.405	0.604	0.443	0.078	0.193
DB01821	"L-N(Omega)-Nitroarginine-2,4-L-Diaminobutyric Amide"	0.024	0.153	1.36	0.435	-0.91	0.606	0.623	0.866	0.438	0.1
DB02027	N-{(4s)-4-Amino-5-[(2-Aminoethyl)Amino]Pentyl}-N'-Nitroguanidine	0.024	0.153	1.36	0.435	-0.91	0.606	0.623	0.866	0.438	0.1
DB02077	L-N(omega)-Nitroarginine-(4R)-Amino-L-Proline Amide	0.024	0.153	1.36	0.435	-0.91	0.606	0.623	0.866	0.438	0.1
DB02141	"S,S'-(1,4-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea"	0.024	0.153	1.36	0.435	-0.91	0.606	0.623	0.866	0.438	0.1
DB03707	S-Ethyl-N-Phenyl-Isothiourea	0.024	0.153	1.36	0.435	-0.91	0.606	0.623	0.866	0.438	0.1
DB04018	S-Isopropyl-Isothiourea	0.024	0.153	1.36	0.435	-0.91	0.606	0.623	0.866	0.438	0.1
DB07107	(1S)-2-(1H-INDOL-3-YL)-1-[({5-[(E)-2-PYRIDIN-4-YLVINYL]PYRIDIN-3-YL}OXY)METHYL]ETHYLAMINE	0.024	-0.425	0.074	-0.221	0.356	0.404	0.217	0.361	0.338	0.566
DB08018	"N-{(3S,4S)-4-[(6-AMINO-4-METHYLPYRIDIN-2-YL)METHYL]PYRROLIDIN-3-YL}-N'-(4-CHLOROBENZYL)ETHANE-1,2-DIAMINE"	0.024	0.153	1.36	0.435	-0.91	0.606	0.623	0.866	0.438	0.1
DB08019	"N-{(3R,4S)-4-[(6-amino-4-methylpyridin-2-yl)methyl]pyrrolidin-3-yl}-N'-(3-chlorobenzyl)ethane-1,2-diamine"	0.024	0.153	1.36	0.435	-0.91	0.606	0.623	0.866	0.438	0.1
DB04854	Febuxostat	0.025	0.086	-1.135	-0.506	0.625	0.384	0.454	0.062	0.203	0.722
DB04821	Nomifensine	0.026	0.907	-1.414	-0.534	-0.801	0.465	0.778	0.034	0.176	0.153
DB01082	Streptomycin	0.028	0.318	0.121	-1.211	-0.339	0.577	0.562	0.531	0.019	0.522
DB03865	6-Chloro-2-(2-Hydroxy-Biphenyl-3-Yl)-1h-Indole-5-Carboxamidine	0.028	0.172	-0.253	-0.427	-0.163	0.481	0.505	0.136	0.272	0.33
DB02175	Malonic acid	0.03	0.483	0.599	-0.559	-0.506	0.399	0.672	0.373	0.19	0.196
DB02925	Piretanide	0.031	0.411	1.37	0.09	-0.771	0.473	0.635	0.852	0.401	0.158
DB04832	Zimelidine	0.031	0.461	1.263	-0.052	-0.975	0.563	0.744	0.836	0.241	0.08
DB09216	Tolfenamic Acid	0.031	-0.062	-0.048	-0.58	0.584	0.421	0.394	0.353	0.196	0.676
DB00247	Methysergide	0.032	-1.295	1.976	1.393	1.167	0.478	0.078	0.969	0.896	0.853
DB00756	Hexachlorophene	0.032	0.829	0.122	1.066	-0.871	0.426	0.778	0.503	0.838	0.145
DB00380	Dexrazoxane	0.034	-0.137	1.236	-0.392	1.186	0.467	0.397	0.865	0.268	0.838
DB01167	Itraconazole	0.035	-0.043	-0.436	-0.125	0.058	0.409	0.407	0.211	0.376	0.417
DB07297	"5,6-DIPHENYL-N-(2-PIPERAZIN-1-YLETHYL)FURO[2,3-D]PYRIMIDIN-4-AMINE"	0.035	0.896	0.356	-0.12	-0.527	0.477	0.766	0.247	0.354	0.237
DB00224	Indinavir	0.038	0.526	0.142	0.269	-0.248	0.686	0.823	0.464	0.501	0.355
DB02424	Geldanamycin	0.038	-0.364	-0.983	-0.208	0.545	0.413	0.247	0.117	0.311	0.633
DB02550	"8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-2-Fluoro-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine"	0.038	-0.364	-0.983	-0.208	0.545	0.413	0.247	0.117	0.311	0.633
DB02754	"9-Butyl-8-(3,4,5-Trimethoxybenzyl)-9h-Purin-6-Amine"	0.038	-0.364	-0.983	-0.208	0.545	0.413	0.247	0.117	0.311	0.633
DB02840	"4-(1,3-Benzodioxol-5-Yl)-5-(5-Ethyl-2,4-Dihydroxyphenyl)-2h-Pyrazole-3-Carboxylic Acid"	0.038	-0.364	-0.983	-0.208	0.545	0.413	0.247	0.117	0.311	0.633
DB03749	"4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole"	0.038	-0.364	-0.983	-0.208	0.545	0.413	0.247	0.117	0.311	0.633
DB04588	"N-[4-(AMINOSULFONYL)BENZYL]-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE"	0.038	-0.364	-0.983	-0.208	0.545	0.413	0.247	0.117	0.311	0.633
DB06956	"N-(4-ACETYLPHENYL)-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE"	0.038	-0.364	-0.983	-0.208	0.545	0.413	0.247	0.117	0.311	0.633
DB06957	"4-CHLORO-6-(4-{4-[4-(METHYLSULFONYL)BENZYL]PIPERAZIN-1-YL}-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL"	0.038	-0.364	-0.983	-0.208	0.545	0.413	0.247	0.117	0.311	0.633
DB06961	"5-(5-chloro-2,4-dihydroxyphenyl)-N-ethyl-4-[4-(morpholin-4-ylmethyl)phenyl]isoxazole-3-carboxamide"	0.038	-0.364	-0.983	-0.208	0.545	0.413	0.247	0.117	0.311	0.633
DB06964	"5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)ISOXAZOLE-3-CARBOXAMIDE"	0.038	-0.364	-0.983	-0.208	0.545	0.413	0.247	0.117	0.311	0.633
DB06969	"2-amino-4-[2,4-dichloro-5-(2-pyrrolidin-1-ylethoxy)phenyl]-N-ethylthieno[2,3-d]pyrimidine-6-carboxamide"	0.038	-0.364	-0.983	-0.208	0.545	0.413	0.247	0.117	0.311	0.633
DB07495	"5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)-1H-PYRAZOLE-3-CARBOXAMIDE"	0.038	-0.364	-0.983	-0.208	0.545	0.413	0.247	0.117	0.311	0.633
DB07594	"4-[4-(2,3-DIHYDRO-1,4-BENZODIOXIN-6-YL)-3-METHYL-1H-PYRAZOL-5-YL]-6-ETHYLBENZENE-1,3-DIOL"	0.038	-0.364	-0.983	-0.208	0.545	0.413	0.247	0.117	0.311	0.633
DB07601	"4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol"	0.038	-0.364	-0.983	-0.208	0.545	0.413	0.247	0.117	0.311	0.633
DB07877	"8-(6-BROMO-BENZO[1,3]DIOXOL-5-YLSULFANYL)-9-(3-ISOPROPYLAMINO-PROPYL)-ADENINE"	0.038	-0.364	-0.983	-0.208	0.545	0.413	0.247	0.117	0.311	0.633
DB08787	"4-(2,4-dichlorophenyl)-5-phenyldiazenyl-pyrimidin-2-amine"	0.038	-0.364	-0.983	-0.208	0.545	0.413	0.247	0.117	0.311	0.633
DB08788	"3,6-DIAMINO-5-CYANO-4-(4-ETHOXYPHENYL)THIENO[2,3-B]PYRIDINE-2-CARBOXAMIDE"	0.038	-0.364	-0.983	-0.208	0.545	0.413	0.247	0.117	0.311	0.633
DB08789	"2-AMINO-4-(2,4-DICHLOROPHENYL)-N-ETHYLTHIENO[2,3-D]PYRIMIDINE-6-CARBOXAMIDE"	0.038	-0.364	-0.983	-0.208	0.545	0.413	0.247	0.117	0.311	0.633
DB00384	Triamterene	0.039	0.554	0.099	-1.087	-0.244	0.427	0.687	0.439	0.095	0.313
DB00131	Adenosine phosphate	0.043	0.511	-0.767	-0.338	-0.318	0.436	0.66	0.19	0.298	0.29
DB01599	Probucol	0.043	0.236	1.263	0.875	-0.562	0.526	0.559	0.824	0.71	0.229
DB05109	Trabectedin	0.043	0.384	0.411	0.237	-0.41	0.471	0.686	0.328	0.48	0.224
DB00440	Trimethoprim	0.044	0.912	0.056	0.274	-0.576	0.47	0.784	0.322	0.521	0.221
DB00698	Nitrofurantoin	0.044	0.17	-1.068	-0.437	0.658	0.397	0.498	0.078	0.229	0.721
DB07676	"3-({[(3S)-3,4-dihydroxybutyl]oxy}amino)-1H,2'H-2,3'-biindol-2'-one"	0.044	-0.356	1.323	0.92	0.094	0.397	0.255	0.905	0.749	0.433
DB00509	Dextrothyroxine	0.052	1.149	0.342	-0.313	-0.98	0.481	0.865	0.411	0.256	0.122
DB02998	Metribolone	0.052	0.059	-0.747	-0.323	0.614	0.408	0.448	0.098	0.286	0.706
DB09223	Blonanserin	0.053	0.421	2.557	0.214	-1.478	0.555	0.69	0.974	0.33	0.025
DB07050	"5-[(phenylsulfonyl)amino]-1,3,4-thiadiazole-2-sulfonamide"	0.056	0.702	1.297	-1.676	-1.055	0.496	0.721	0.84	0.043	0.111
DB04083	N'-Pyridoxyl-Lysine-5'-Monophosphate	0.059	0.514	0.84	0.418	-1.306	0.486	0.652	0.702	0.426	0.073
DB01063	Acetophenazine	0.06	0.322	-1.067	-0.427	0.682	0.406	0.579	0.063	0.213	0.713
DB00466	Picrotoxin	0.061	0.308	0.739	0.591	-0.481	0.516	0.6	0.684	0.585	0.233
DB00678	Losartan	0.064	0.804	0.742	0.538	-0.658	0.505	0.758	0.67	0.461	0.178
DB02473	"6-[N-(1-Isopropyl-3,4-Dihydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine"	0.064	0.217	0.715	-0.37	-0.164	0.488	0.521	0.632	0.288	0.336
DB07076	6-[(Z)-AMINO(IMINO)METHYL]-N-[3-(CYCLOPENTYLOXY)PHENYL]-2-NAPHTHAMIDE	0.064	0.217	0.715	-0.37	-0.164	0.488	0.521	0.632	0.288	0.336
DB00803	Colistin	0.067	0.781	1.644	0.458	-0.291	0.412	0.796	0.932	0.621	0.269
DB00504	Levallorphan	0.068	0.559	-0.525	0.369	-0.376	0.759	0.853	0.066	0.482	0.331
DB00913	Anileridine	0.068	0.559	-0.525	0.369	-0.376	0.759	0.853	0.066	0.482	0.331
DB01466	Ethylmorphine	0.068	0.559	-0.525	0.369	-0.376	0.759	0.853	0.066	0.482	0.331
DB01501	Difenoxin	0.068	0.559	-0.525	0.369	-0.376	0.759	0.853	0.066	0.482	0.331
DB01551	Dihydrocodeine	0.068	0.559	-0.525	0.369	-0.376	0.759	0.853	0.066	0.482	0.331
DB09049	Naloxegol	0.068	0.559	-0.525	0.369	-0.376	0.759	0.853	0.066	0.482	0.331
DB00328	Indometacin	0.069	0.039	-0.367	0.454	0.758	0.459	0.441	0.273	0.617	0.757
DB00768	Olopatadine	0.069	0.289	-1.038	0.989	0.143	0.476	0.553	0.048	0.76	0.46
DB01098	Rosuvastatin	0.069	0.231	1.15	0.32	-0.673	0.556	0.609	0.809	0.377	0.176
DB04895	Pegaptanib	0.069	0.317	0.599	0.533	-0.59	0.577	0.661	0.604	0.459	0.21
DB06843	"2',5'-DIDEOXY-ADENOSINE 3'-MONOPHOSPHATE"	0.071	0.378	0.687	0.293	-0.615	0.673	0.739	0.663	0.425	0.185
DB13149	Protein S human	0.071	0.39	1.866	0.028	-0.615	0.65	0.739	0.928	0.262	0.183
DB00113	Technetium Tc-99m arcitumomab	0.073	0.353	0.395	-1.05	0.024	0.621	0.658	0.645	0.037	0.629
DB00159	Icosapent	0.073	-0.264	1.951	1.351	-0.75	0.475	0.358	0.967	0.903	0.184
DB08356	"4-[4-(4-methoxyphenyl)-5-methyl-1H-pyrazol-3-yl]benzene-1,3-diol"	0.073	-0.287	-1.007	-0.156	0.62	0.428	0.295	0.108	0.326	0.7
DB02491	4-[4-(1-Amino-1-Methylethyl)Phenyl]-5-Chloro-N-[4-(2-Morpholin-4-Ylethyl)Phenyl]Pyrimidin-2-Amine	0.074	-0.156	-0.77	0.535	0.398	0.42	0.347	0.11	0.631	0.584
DB05186	SQ-109	0.075	0.832	0.305	0.077	-0.816	0.646	0.891	0.483	0.299	0.112
DB07274	"N-cyclopropyl-6-[(6,7-dimethoxyquinolin-4-yl)oxy]naphthalene-1-carboxamide"	0.078	-0.162	0.345	-0.618	0.534	0.417	0.343	0.464	0.215	0.667
DB09020	Bisacodyl	0.081	0.423	-0.616	-0.247	0.36	0.438	0.639	0.196	0.293	0.537
DB00378	Dydrogesterone	0.082	0.314	-0.871	-0.514	0.38	0.41	0.563	0.087	0.209	0.586
DB01285	Corticotropin	0.083	0.833	0.918	-0.666	-0.023	0.599	0.862	0.773	0.175	0.473
DB04147	Lauryl Dimethylamine-N-Oxide	0.083	0.184	-0.69	-1.315	-0.135	0.489	0.527	0.163	0.068	0.386
DB00860	Prednisolone	0.084	0.245	-0.729	-0.667	0.071	0.458	0.529	0.14	0.191	0.45
DB00455	Loratadine	0.085	1.035	-0.307	1.199	-1.264	0.48	0.81	0.227	0.819	0.07
DB00400	Griseofulvin	0.086	0.188	-1.287	-0.614	0.577	0.417	0.523	0.051	0.172	0.673
DB00857	Terbinafine	0.086	0.582	1.018	-0.073	-0.947	0.585	0.762	0.785	0.244	0.087
DB07045	"(2R,3R,4S,5R)-2-[6-amino-8-[(3,4-dichlorophenyl)methylamino]purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol"	0.086	-0.269	0.984	0.498	-0.354	0.419	0.311	0.594	0.613	0.235
DB04297	"7-[4-(Dimethylamino)Phenyl]-N-Hydroxy-4,6-Dimethyl-7-Oxo-2,4-Heptadienamide"	0.087	0.056	-0.126	0.123	0.777	0.442	0.429	0.362	0.492	0.749
DB00665	Nilutamide	0.089	0.216	-1.016	-0.858	0.732	0.44	0.511	0.073	0.133	0.758
DB08553	"(1E)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1H-pyrazol-4-yl)-2,3-dihydro-1H-inden-1-one oxime"	0.089	0.03	0.559	0.956	-0.387	0.44	0.41	0.361	0.751	0.213
DB07832	"4-{4-[(5-hydroxy-2-methylphenyl)amino]quinolin-7-yl}-1,3-thiazole-2-carbaldehyde"	0.09	-0.15	0.801	0.337	-0.516	0.42	0.363	0.485	0.553	0.181
DB00590	Doxazosin	0.092	-0.127	0.352	0.9	-0.814	0.506	0.403	0.532	0.749	0.15
DB00739	Hetacillin	0.092	0.357	1.533	0.407	-0.943	0.58	0.701	0.889	0.426	0.081
DB00990	Exemestane	0.092	0.194	-1.03	-0.721	0.831	0.455	0.519	0.063	0.149	0.778
DB02193		0.095	-0.013	0.445	0.409	0.252	0.584	0.488	0.559	0.382	0.551
DB03136	4-Iodobenzo[B]Thiophene-2-Carboxamidine	0.095	-0.013	0.445	0.409	0.252	0.584	0.488	0.559	0.382	0.551
DB01614	Acepromazine	0.097	-0.078	1.685	0.954	-1.685	0.482	0.418	0.91	0.658	0.042
DB00413	Pramipexole	0.101	-0.402	2.644	2.179	0.038	0.489	0.288	0.992	0.99	0.421
DB03649	"[{(5-Chloro-2-Pyridinyl)Amino} Methylene]-1,1-Bisphosphonate"	0.101	0.517	1.299	0.188	-0.808	0.635	0.815	0.844	0.336	0.112
DB07215	"2-METHYL-2-(4-{[({4-METHYL-2-[4-(TRIFLUOROMETHYL)PHENYL]-1,3-THIAZOL-5-YL}CARBONYL)AMINO]METHYL}PHENOXY)PROPANOIC ACID"	0.101	-0.155	1.357	1.747	-1.091	0.494	0.39	0.91	0.901	0.106
DB07724	Indeglitazar	0.101	-0.155	1.357	1.747	-1.091	0.494	0.39	0.91	0.901	0.106
DB01621	Pipotiazine	0.105	0.301	1.663	0.324	-1.021	0.539	0.58	0.9	0.352	0.099
DB06404	Human C1-esterase inhibitor	0.105	0.281	0.899	-0.172	-0.147	0.506	0.551	0.728	0.257	0.335
DB09228	Conestat alfa	0.105	0.281	0.899	-0.172	-0.147	0.506	0.551	0.728	0.257	0.335
DB00894	Testolactone	0.107	0.289	0.817	-0.948	-0.222	0.532	0.53	0.668	0.159	0.478
